Tip Matrice,Tip alocare,Nr threads,Timp executie
,,2,0
,,2,0
,,2,20.88379
,,2,20.96434
,,2,0
,,2,0.72645
,,2,16.79209
,,4,11.44591
,,8,10.57182
,,16,16.43054
,,2,1822.25
,,4,3030.81666666667
,,8,2441.69
,,16,2170.70333333333
